Information	Origin Place	Continent Origin	Origin Date
Type	Categorical	Categorical	Numerical
Jorgen 722 Denmark 1256-1377	DNK	EU	1377
Jorgen 625 Denmark 1283-1329	DNK	EU	1329
Jorgen 749 Denmark 1223-1279	DNK	EU	1279
Jorgen 404 Denmark 1219-1276	DNK	EU	1276
Jorgen 427 Denmark 1164-1258	DNK	EU	1258
Jorgen 507 Denmark 1058-1253	DNK	EU	1253
SK2 UK 1198-1244	GBR	EU	1224
Jorgen 533 Denmark 1044-1214	DNK	EU	1214
SK27 UK 1020-1162	GBR	EU	1162
SK8 UK 1010-1160	GBR	EU	1160
Refshale 16 Denmark 1017-1065	DNK	EU	1065
SK14 UK 923-971	GBR	EU	971
SK11 Hungary 600-800	HUN	EU	800
T18 Italy 600-700	ITA	EU	700
Body 188 Czech Republic 800-1200	CZE	EU	1200
Br2016-14 Brazil 2016	BRA	SA	2016
Br2016-15 Brazil 2016	BRA	SA	2016
Br2016-16 Brazil 2016	BRA	SA	2016
Br2016-17 Brazil 2016	BRA	SA	2016
Br2016-18 Brazil 2016	BRA	SA	2016
Br2016-19 Brazil 2016	BRA	SA	2016
Br2016-20 Brazil 2016	BRA	SA	2016
Br2016-21 Brazil 2016	BRA	SA	2016
Br2016-24 Brazil 2016	BRA	SA	2016
Br2016-26 Brazil 2016	BRA	SA	2016
Br2016-27 Brazil 2016	BRA	SA	2016
Br2016-45 Brazil 2016	BRA	SA	2016
Br2016-46 Brazil 2016	BRA	SA	2016
Br2016-47 Brazil 2016	BRA	SA	2016
MI2-10 Guinea 2016	GIN	AF	2016
MI6-50 Guinea 2016	GIN	AF	2016
MI6-55 Guinea 2016	GIN	AF	2016
EGG Mexico 2016	MEX	NA	2016
Ml10-91 Mali 2016	MLI	AF	2016
Ml10-93 Mali 2016	MLI	AF	2016
Ml10-94 Mali 2016	MLI	AF	2016
Ml10-95 Mali 2016	MLI	AF	2016
Ml10-96 Mali 2016	MLI	AF	2016
Ml10-97 Mali 2016	MLI	AF	2016
Ml10-98 Mali 2016	MLI	AF	2016
Ml10-99 Mali 2016	MLI	AF	2016
Ml9-79 Mali 2016	MLI	AF	2016
1262-16 Pakistan 2016	PAK	AS	2016
ARLP 30 Ethiopia 2015	ETH	AF	2015
ARLP-11 Ethiopia 2015	ETH	AF	2015
ARLP-12 Ethiopia 2015	ETH	AF	2015
ARLP-13 Ethiopia 2015	ETH	AF	2015
ARLP-14 Ethiopia 2015	ETH	AF	2015
ARLP-20 Ethiopia 2015	ETH	AF	2015
ARLP-23 Ethiopia 2015	ETH	AF	2015
ARLP-25 Ethiopia 2015	ETH	AF	2015
ARLP-27 Ethiopia 2015	ETH	AF	2015
ARLP-29 Ethiopia 2015	ETH	AF	2015
ARLP-32 Ethiopia 2015	ETH	AF	2015
ARLP-37 Ethiopia 2015	ETH	AF	2015
ARLP-40 Ethiopia 2015	ETH	AF	2015
ARLP-46 Ethiopia 2015	ETH	AF	2015
ARLP-49 Ethiopia 2015	ETH	AF	2015
ARLP-52 Ethiopia 2015	ETH	AF	2015
ARLP-57 Ethiopia 2015	ETH	AF	2015
ARLP-62 Ethiopia 2015	ETH	AF	2015
ARLP-68 Ethiopia 2015	ETH	AF	2015
ARLP-73 Ethiopia 2015	ETH	AF	2015
ARLP-74 Ethiopia 2015	ETH	AF	2015
ARPL-07 Ethiopia 2015	ETH	AF	2015
ARPL-10 Ethiopia 2015	ETH	AF	2015
Brw15-1 UK 2015	GBR	EU	2015
Brw15-10 UK 2015	GBR	EU	2015
Brw15-20 UK 2015	GBR	EU	2015
Brw15-25 UK 2015	GBR	EU	2015
Brw15-5 UK 2015	GBR	EU	2015
Ng12-33 Niger 2015	NGA	AF	2015
Ng13-32 Niger 2015	NGA	AF	2015
Ng13-33 Niger 2015	NGA	AF	2015
Ng15-36 Niger 2015	NGA	AF	2015
Ng15-37 Niger 2015	NGA	AF	2015
Ng16-38 Niger 2015	NGA	AF	2015
Ng17-39 Niger 2015	NGA	AF	2015
Ye4-10 Yemen 2015	YEM	AS	2015
Ye4-11 Yemen 2015	YEM	AS	2015
Ye4-12 Yemen 2015	YEM	AS	2015
Ye4-8 Yemen 2015	YEM	AS	2015
Br14-1 Brazil 2014	BRA	SA	2014
Br14-2 Brazil 2014	BRA	SA	2014
Br14-3 Brazil 2014	BRA	SA	2014
Br14-4 Brazil 2014	BRA	SA	2014
Br14-5 Brazil 2014	BRA	SA	2014
Gu4-17L Guinea 2014	GIN	AF	2014
Gu4-19L Guinea 2014	GIN	AF	2014
Gu5-23 Guinea 2014	GIN	AF	2014
Ml9-80 Mali 2014	MLI	AF	2014
Ml9-81 Mali 2014	MLI	AF	2014
Ml9-82 Mali 2014	MLI	AF	2014
Ml9-83 Mali 2014	MLI	AF	2014
Ml9-84 Mali 2014	MLI	AF	2014
Ml9-86 Mali 2014	MLI	AF	2014
Ml9-87 Mali 2014	MLI	AF	2014
Ye2-3 Yemen 2014	YEM	AS	2014
BP Brazil 2013	BRA	SA	2013
Br1 Brazil 2013	BRA	SA	2013
BrMM1 Brazil 2013	BRA	SA	2013
BrMM2 Brazil 2013	BRA	SA	2013
BrMM4 Brazil 2013	BRA	SA	2013
BrMM5 Brazil 2013	BRA	SA	2013
ML2-5 Mali 2012	MLI	AF	2012
S13 Mali 2012	MLI	AF	2012
S14 Mali 2012	MLI	AF	2012
Pak Pakistan 2010	PAK	AS	2010
Ch4 Sierra Leone 2009	SLE	AF	2009
S10 China 2006	CHN	AS	2006
Thai53 Thailand 2005	THA	AS	2005
W-09 USA 2005	USA	NA	2005
Br4923 Brazil 2004	BRA	SA	2004
NHDP-55 USA 2004	USA	NA	2004
NHDP-98 USA 2004	USA	NA	2004
NHDP63 USA 2004	USA	NA	2004
97016 French West Indies 2000	FRA	EU	2000
Indonesia-1 Indonesia 2000	IDN	AS	2000
Amami Japan 2000	JPN	AS	2000
Izumi Japan 2000	JPN	AS	2000
Kanazawa Japan 2000	JPN	AS	2000
Kitasato Japan 2000	JPN	AS	2000
Kyoto-1 Japan 2000	JPN	AS	2000
LRC-1A Japan 2000	JPN	AS	2000
Oku-4 Japan 2000	JPN	AS	2000
Ryukyu-2 Japan 2000	JPN	AS	2000
Tsukuba-1 Japan 2000	JPN	AS	2000
Zensho-2 Japan 2000	JPN	AS	2000
Zensho-4 Japan 2000	JPN	AS	2000
Zensho-5 Japan 2000	JPN	AS	2000
Zensho-9 Japan 2000	JPN	AS	2000
Korea-3-2 Korea 2000	KOR	AS	2000
US57 Marshall Islands 2000	MHL	OC	2000
2936 Malawi 2000	MWI	AF	2000
Thai-237 Thailand 2000	THA	AS	2000
Thai-311 Thailand 2000	THA	AS	2000
Airaku3 Japan 1996	JPN	AS	1996
S9 New Caledonia 1996	NCL	OC	1996
CM1 Philippines 1994	PHL	AS	1994
3077 Sweden 993-1031	SWE	EU	1031
S2 West Indies 1992	IND	AS	1992
S15 New Caledonia 1992	NCL	OC	1992
Kyoto-2 Japan 1991	JPN	AS	1991
S11 India 1990	IND	AS	1990
85054 Martinique 1990	MTQ	NA	1990
TN India 1981	IND	AS	1984
SM1 West Africa 1979			1979
Bn7-39 Benin 2015	BEN	AF	2015
Bn7-41 Benin 2015	BEN	AF	2015
Bn8-46 Benin 2015	BEN	AF	2015
Bn8-51-1+2 Benin 2015	BEN	AF	2015
Bn8-52 Benin 2015	BEN	AF	2015
2DDS Brazil 2015	BRA	SA	2015
3208-2015 Brazil 2015	BRA	SA	2015
2188-2014 Brazil 2014	BRA	SA	2014
